时间,会话ID,模型,输入tokens,输出tokens,缓存读取,缓存创建,总计tokens,用户提示词,回复摘要
2026-07-14T03:25:40.224Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,26288,391,0,0,26679,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/a37c111/run_20260714_111734/dataset_variants/without_non_regression/model_,
2026-07-14T03:25:41.306Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,26288,391,0,0,26679,,
2026-07-14T03:25:41.760Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,26288,391,0,0,26679,,
2026-07-14T03:25:44.762Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,11103,249,26624,0,11352,,
2026-07-14T03:26:04.850Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,2759,1814,37888,0,4573,,
2026-07-14T03:26:16.351Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,331,268,42368,0,599,,
2026-07-14T03:26:17.738Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,331,268,42368,0,599,,
2026-07-14T03:26:19.444Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,6166,421,42880,0,6587,,
2026-07-14T03:26:21.957Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,6166,421,42880,0,6587,,
2026-07-14T03:26:23.174Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,254,503,49408,0,757,,
2026-07-14T03:26:25.218Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,254,503,49408,0,757,,
2026-07-14T03:26:26.223Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,254,503,49408,0,757,,
2026-07-14T03:26:28.576Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,7726,431,49536,0,8157,,
2026-07-14T03:26:30.348Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,7726,431,49536,0,8157,,
2026-07-14T03:26:37.034Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,1210,883,57600,0,2093,,
2026-07-14T03:26:39.535Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,1210,883,57600,0,2093,,
2026-07-14T03:26:46.353Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,2233,819,58752,0,3052,,
2026-07-14T03:26:47.710Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,2233,819,58752,0,3052,,
2026-07-14T03:27:00.797Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,670,1253,61696,0,1923,,
2026-07-14T03:27:04.060Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,199,292,63616,0,491,,
2026-07-14T03:27:07.584Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,379,718,63744,0,1097,,
2026-07-14T03:28:15.395Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,9784,4866,64000,0,14650,,
2026-07-14T03:28:17.289Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,9784,4866,64000,0,14650,,
2026-07-14T03:28:17.948Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,9784,4866,64000,0,14650,,
2026-07-14T03:28:19.716Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,5683,226,73728,0,5909,,
2026-07-14T03:28:20.898Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,5683,226,73728,0,5909,,
2026-07-14T03:28:23.163Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,1741,600,79616,0,2341,,
2026-07-14T03:28:24.551Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,1741,600,79616,0,2341,,
2026-07-14T03:28:25.270Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,1741,600,79616,0,2341,,
2026-07-14T03:28:25.866Z,7969e523-a45b-4988-ac53-1e6f8ec8962c,deepseek-v4-flash,1741,600,79616,0,2341,,
