会话,轮次,输入tokens,输出tokens,缓存读取,合计tokens,输入占比,输出占比
activemq_withpro,1,26365,507,0,26872,98.1%,1.9%
activemq_withpro,2,26365,507,0,26872,98.1%,1.9%
activemq_withpro,3,26365,507,0,26872,98.1%,1.9%
activemq_withpro,4,26365,507,0,26872,98.1%,1.9%
activemq_withpro,5,26365,507,0,26872,98.1%,1.9%
activemq_withpro,6,19433,2692,26752,48877,39.8%,5.5%
activemq_withpro,7,574,477,48768,49819,1.2%,1.0%
activemq_withpro,8,574,477,48768,49819,1.2%,1.0%
activemq_withpro,9,1995,5125,49792,56912,3.5%,9.0%
activemq_withpro,10,5221,2466,51712,59399,8.8%,4.2%
activemq_withpro,11,14716,26163,56832,97711,15.1%,26.8%
activemq_withpro,12,147,621,97664,98432,0.1%,0.6%
activemq_withpro,13,258,217,98432,98907,0.3%,0.2%
activemq_withpro,14,131,555,98816,99502,0.1%,0.6%
activemq_withoutpro,1,26365,454,0,26819,98.3%,1.7%
activemq_withoutpro,2,26365,454,0,26819,98.3%,1.7%
activemq_withoutpro,3,26365,454,0,26819,98.3%,1.7%
activemq_withoutpro,4,26365,454,0,26819,98.3%,1.7%
activemq_withoutpro,5,18230,1320,26752,46302,39.4%,2.9%
activemq_withoutpro,6,18230,1320,26752,46302,39.4%,2.9%
activemq_withoutpro,7,18230,1320,26752,46302,39.4%,2.9%
activemq_withoutpro,8,18230,1320,26752,46302,39.4%,2.9%
activemq_withoutpro,9,18230,1320,26752,46302,39.4%,2.9%
activemq_withoutpro,10,4709,828,46208,51745,9.1%,1.6%
activemq_withoutpro,11,4709,828,46208,51745,9.1%,1.6%
activemq_withoutpro,12,4709,828,46208,51745,9.1%,1.6%
activemq_withoutpro,13,4709,828,46208,51745,9.1%,1.6%
activemq_withoutpro,14,4709,828,46208,51745,9.1%,1.6%
activemq_withoutpro,15,7243,611,51712,59566,12.2%,1.0%
activemq_withoutpro,16,510,765,59520,60795,0.8%,1.3%
activemq_withoutpro,17,510,765,59520,60795,0.8%,1.3%
activemq_withoutpro,18,510,765,59520,60795,0.8%,1.3%
activemq_withoutpro,19,510,765,59520,60795,0.8%,1.3%
activemq_withoutpro,20,510,765,59520,60795,0.8%,1.3%
activemq_withoutpro,21,5249,20139,60672,86060,6.1%,23.4%
activemq_withoutpro,22,17367,1376,86016,104759,16.6%,1.3%
activemq_withoutpro,23,275,1178,104704,106157,0.3%,1.1%
activemq_withoutpro,24,358,729,106112,107199,0.3%,0.7%
hadoop_withpro,1,26521,324,0,26845,98.8%,1.2%
hadoop_withpro,2,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,3,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,4,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,5,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,6,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,7,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,8,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,9,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,10,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,11,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,12,365,751,26496,27612,1.3%,2.7%
hadoop_withpro,13,44985,2609,27520,75114,59.9%,3.5%
hadoop_withpro,14,2692,2378,72448,77518,3.5%,3.1%
hadoop_withpro,15,165,1186,77440,78791,0.2%,1.5%
hadoop_withpro,16,246,1219,78720,80185,0.3%,1.5%
hadoop_withpro,17,1307,328,78848,80483,1.6%,0.4%
hadoop_withpro,18,325,177,80128,80630,0.4%,0.2%
hadoop_withpro,19,1600,1349,80512,83461,1.9%,1.6%
hadoop_withpro,20,917,810,83456,85183,1.1%,1.0%
hadoop_withpro,21,349,678,85120,86147,0.4%,0.8%
hadoop_withpro,22,376,264,86144,86784,0.4%,0.3%
hadoop_withpro,23,410,389,86400,87199,0.5%,0.4%
hadoop_withoutpro,1,26521,302,0,26823,98.9%,1.1%
hadoop_withoutpro,2,347,306,26496,27149,1.3%,1.1%
hadoop_withoutpro,3,347,306,26496,27149,1.3%,1.1%
hadoop_withoutpro,4,347,306,26496,27149,1.3%,1.1%
hadoop_withoutpro,5,347,306,26496,27149,1.3%,1.1%
hadoop_withoutpro,6,16383,550,27136,44069,37.2%,1.2%
hadoop_withoutpro,7,16383,550,27136,44069,37.2%,1.2%
hadoop_withoutpro,8,16383,550,27136,44069,37.2%,1.2%
hadoop_withoutpro,9,9623,1037,44032,54692,17.6%,1.9%
hadoop_withoutpro,10,9623,1037,44032,54692,17.6%,1.9%
hadoop_withoutpro,11,2719,3368,54656,60743,4.5%,5.5%
hadoop_withoutpro,12,3419,6418,57344,67181,5.1%,9.6%
hadoop_withoutpro,13,412,195,67072,67679,0.6%,0.3%
hadoop_withoutpro,14,135,267,67584,67986,0.2%,0.4%
hadoop_withoutpro,15,1183,491,67968,69642,1.7%,0.7%
karaf_withpro,1,26513,651,0,27164,97.6%,2.4%
karaf_withpro,2,26513,651,0,27164,97.6%,2.4%
karaf_withpro,3,26513,651,0,27164,97.6%,2.4%
karaf_withpro,4,26513,651,0,27164,97.6%,2.4%
karaf_withpro,5,26513,651,0,27164,97.6%,2.4%
karaf_withpro,6,26513,651,0,27164,97.6%,2.4%
karaf_withpro,7,26513,651,0,27164,97.6%,2.4%
karaf_withpro,8,26513,651,0,27164,97.6%,2.4%
karaf_withpro,9,24550,1872,27136,53558,45.8%,3.5%
karaf_withpro,10,24550,1872,27136,53558,45.8%,3.5%
karaf_withpro,11,24550,1872,27136,53558,45.8%,3.5%
karaf_withpro,12,24550,1872,27136,53558,45.8%,3.5%
karaf_withpro,13,24550,1872,27136,53558,45.8%,3.5%
karaf_withpro,14,4496,556,53504,58556,7.7%,0.9%
karaf_withpro,15,4496,556,53504,58556,7.7%,0.9%
karaf_withpro,16,4496,556,53504,58556,7.7%,0.9%
karaf_withpro,17,4496,556,53504,58556,7.7%,0.9%
karaf_withpro,18,3195,611,58496,62302,5.1%,1.0%
karaf_withpro,19,3195,611,58496,62302,5.1%,1.0%
karaf_withpro,20,3195,611,58496,62302,5.1%,1.0%
karaf_withpro,21,364,311,62208,62883,0.6%,0.5%
karaf_withpro,22,790,3906,62848,67544,1.2%,5.8%
karaf_withpro,23,790,3906,62848,67544,1.2%,5.8%
karaf_withpro,24,790,3906,62848,67544,1.2%,5.8%
karaf_withpro,25,790,3906,62848,67544,1.2%,5.8%
karaf_withpro,26,1361,14944,67456,83761,1.6%,17.8%
karaf_withpro,27,132,1683,83712,85527,0.2%,2.0%
karaf_withpro,28,228,611,85504,86343,0.3%,0.7%
