会话,轮次,输入tokens,输出tokens,缓存读取,合计tokens,输入占比,输出占比
activemq_with,1,26698,516,0,27214,98.1%,1.9%
activemq_with,2,26698,516,0,27214,98.1%,1.9%
activemq_with,3,26698,516,0,27214,98.1%,1.9%
activemq_with,4,26698,516,0,27214,98.1%,1.9%
activemq_with,5,26698,516,0,27214,98.1%,1.9%
activemq_with,6,19301,1641,27136,48078,40.1%,3.4%
activemq_with,7,882,268,48000,49150,1.8%,0.5%
activemq_with,8,27151,2423,49024,78598,34.5%,3.1%
activemq_with,9,2458,420,76160,79038,3.1%,0.5%
activemq_with,10,2458,420,76160,79038,3.1%,0.5%
activemq_with,11,2458,420,76160,79038,3.1%,0.5%
activemq_with,12,3119,429,78976,82524,3.8%,0.5%
activemq_with,13,3119,429,78976,82524,3.8%,0.5%
activemq_with,14,3119,429,78976,82524,3.8%,0.5%
activemq_with,15,390,311,82432,83133,0.5%,0.4%
activemq_with,16,390,311,82432,83133,0.5%,0.4%
activemq_with,17,1237,7887,83072,92196,1.3%,8.6%
activemq_with,18,1237,7887,83072,92196,1.3%,8.6%
activemq_with,19,1237,7887,83072,92196,1.3%,8.6%
activemq_with,20,5395,1507,92160,99062,5.4%,1.5%
activemq_with,21,1546,8601,97536,107683,1.4%,8.0%
activemq_with,22,71,9069,107648,116788,0.1%,7.8%
activemq_with,23,267,358,116736,117361,0.2%,0.3%
activemq_with,24,752,162,116992,117906,0.6%,0.1%
activemq_with,25,720,145,117888,118753,0.6%,0.1%
activemq_with,26,2037,163,118656,120856,1.7%,0.1%
activemq_with,27,526,200,120576,121302,0.4%,0.2%
activemq_with,28,126,347,121216,121689,0.1%,0.3%
activemq_without,1,26698,379,0,27077,98.6%,1.4%
activemq_without,2,26698,379,0,27077,98.6%,1.4%
activemq_without,3,26698,379,0,27077,98.6%,1.4%
activemq_without,4,13694,1654,27008,42356,32.3%,3.9%
activemq_without,5,588,224,42240,43052,1.4%,0.5%
activemq_without,6,1873,804,43008,45685,4.1%,1.8%
activemq_without,7,1873,804,43008,45685,4.1%,1.8%
activemq_without,8,1873,804,43008,45685,4.1%,1.8%
activemq_without,9,2798,510,45568,48876,5.7%,1.0%
activemq_without,10,2798,510,45568,48876,5.7%,1.0%
activemq_without,11,2798,510,45568,48876,5.7%,1.0%
activemq_without,12,10964,859,48256,60079,18.2%,1.4%
activemq_without,13,10964,859,48256,60079,18.2%,1.4%
activemq_without,14,1099,1574,60032,62705,1.8%,2.5%
activemq_without,15,1099,1574,60032,62705,1.8%,2.5%
activemq_without,16,1099,1574,60032,62705,1.8%,2.5%
activemq_without,17,8798,1875,61056,71729,12.3%,2.6%
activemq_without,18,1941,427,71680,74048,2.6%,0.6%
activemq_without,19,1941,427,71680,74048,2.6%,0.6%
activemq_without,20,745,594,73984,75323,1.0%,0.8%
activemq_without,21,745,594,73984,75323,1.0%,0.8%
activemq_without,22,1488,1246,74624,77358,1.9%,1.6%
activemq_without,23,1488,1246,74624,77358,1.9%,1.6%
activemq_without,24,382,274,77312,77968,0.5%,0.4%
activemq_without,25,382,274,77312,77968,0.5%,0.4%
activemq_without,26,225,203,77952,78380,0.3%,0.3%
activemq_without,27,225,203,77952,78380,0.3%,0.3%
activemq_without,28,5756,3067,78336,87159,6.6%,3.5%
activemq_without,29,5756,3067,78336,87159,6.6%,3.5%
activemq_without,30,591,614,87040,88245,0.7%,0.7%
activemq_without,31,591,614,87040,88245,0.7%,0.7%
activemq_without,32,7507,2849,88192,98548,7.6%,2.9%
activemq_without,33,7507,2849,88192,98548,7.6%,2.9%
activemq_without,34,7507,2849,88192,98548,7.6%,2.9%
activemq_without,35,2039,687,98432,101158,2.0%,0.7%
activemq_without,36,1454,273,101120,102847,1.4%,0.3%
activemq_without,37,329,621,102528,103478,0.3%,0.6%
activemq_without,38,155,1910,103424,105489,0.1%,1.8%
activemq_without,39,155,1910,103424,105489,0.1%,1.8%
activemq_without,40,155,1910,103424,105489,0.1%,1.8%
activemq_without,41,115,1651,105472,107238,0.1%,1.5%
activemq_without,42,1806,4854,105472,112132,1.6%,4.3%
activemq_without,43,1806,4854,105472,112132,1.6%,4.3%
activemq_without,44,1395,17260,112128,130783,1.1%,13.2%
activemq_without,45,200,338,130688,131226,0.2%,0.3%
activemq_without,46,396,243,131200,131839,0.3%,0.2%
activemq_without,47,167,147,131712,132026,0.1%,0.1%
activemq_without,48,2598,627,131968,135193,1.9%,0.5%
hadoop_with,1,26607,370,0,26977,98.6%,1.4%
hadoop_with,2,26607,370,0,26977,98.6%,1.4%
hadoop_with,3,17275,474,26880,44629,38.7%,1.1%
hadoop_with,4,11181,573,44544,56298,19.9%,1.0%
hadoop_with,5,11181,573,44544,56298,19.9%,1.0%
hadoop_with,6,5729,208,55680,61617,9.3%,0.3%
hadoop_with,7,684,212,61568,62464,1.1%,0.3%
hadoop_with,8,607,242,62464,63313,1.0%,0.4%
hadoop_with,9,607,242,62464,63313,1.0%,0.4%
hadoop_with,10,9937,248,63232,73417,13.5%,0.3%
hadoop_with,11,9937,248,63232,73417,13.5%,0.3%
hadoop_with,12,70,1862,84224,86156,0.1%,2.2%
hadoop_with,13,70,1862,84224,86156,0.1%,2.2%
hadoop_with,14,9350,282,86144,95776,9.8%,0.3%
hadoop_with,15,9350,282,86144,95776,9.8%,0.3%
hadoop_with,16,6215,320,95744,102279,6.1%,0.3%
hadoop_with,17,6215,320,95744,102279,6.1%,0.3%
hadoop_with,18,5173,818,102272,108263,4.8%,0.8%
hadoop_with,19,886,1613,107392,109891,0.8%,1.5%
hadoop_with,20,298,165,109824,110287,0.3%,0.1%
hadoop_with,21,116,6074,117120,123310,0.1%,4.9%
hadoop_with,22,775,228,123264,124267,0.6%,0.2%
hadoop_with,23,775,228,123264,124267,0.6%,0.2%
hadoop_with,24,7608,490,124160,132258,5.8%,0.4%
hadoop_with,25,11689,463,132224,144376,8.1%,0.3%
hadoop_with,26,160,16364,144256,160780,0.1%,10.2%
hadoop_with,27,101,641,160768,161510,0.1%,0.4%
hadoop_with,28,5926,5627,161408,172961,3.4%,3.3%
hadoop_with,29,88,347,172928,173363,0.1%,0.2%
hadoop_with,30,81,5189,173312,178582,0.0%,2.9%
hadoop_with,31,3070,207,178560,181837,1.7%,0.1%
hadoop_with,32,117,274,181760,182151,0.1%,0.2%
hadoop_with,33,386,3792,182144,186322,0.2%,2.0%
hadoop_with,34,658,628,186240,187526,0.4%,0.3%
hadoop_with,35,36,834,187520,188390,0.0%,0.4%
hadoop_with,36,142,1572,188288,190002,0.1%,0.8%
hadoop_with,37,161,547,189952,190660,0.1%,0.3%
hadoop_with,38,136,497,190592,191225,0.1%,0.3%
hadoop_with,39,367,608,191104,192079,0.2%,0.3%
hadoop_with,40,209,424,192000,192633,0.1%,0.2%
hadoop_with,41,210,341,192512,193063,0.1%,0.2%
hadoop_with,42,69,2416,193024,195509,0.0%,1.2%
hadoop_with,43,844,246,195456,196546,0.4%,0.1%
hadoop_with,44,106,396,196480,196982,0.1%,0.2%
hadoop_without,1,26607,321,0,26928,98.8%,1.2%
hadoop_without,2,26607,321,0,26928,98.8%,1.2%
