时间,会话ID,模型,输入tokens,输出tokens,缓存读取,缓存创建,总计tokens,用户提示词,回复摘要
2026-07-15T07:32:33.835Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,26698,516,0,0,27214,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result_deepseek_flash/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/a37c111/run_20260715_153215/dataset_variants/with_non_regre,
2026-07-15T07:32:34.882Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,26698,516,0,0,27214,,
2026-07-15T07:32:35.294Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,26698,516,0,0,27214,,
2026-07-15T07:32:35.621Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,26698,516,0,0,27214,,
2026-07-15T07:32:36.192Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,26698,516,0,0,27214,,
2026-07-15T07:32:40.944Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,19301,1641,27136,0,20942,,
2026-07-15T07:33:12.105Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,882,268,48000,0,1150,,
2026-07-15T07:37:18.337Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,27151,2423,49024,0,29574,,
2026-07-15T07:37:20.847Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,2458,420,76160,0,2878,,
2026-07-15T07:37:22.249Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,2458,420,76160,0,2878,,
2026-07-15T07:37:22.853Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,2458,420,76160,0,2878,,
2026-07-15T07:37:24.740Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,3119,429,78976,0,3548,,
2026-07-15T07:37:26.092Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,3119,429,78976,0,3548,,
2026-07-15T07:37:26.735Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,3119,429,78976,0,3548,,
2026-07-15T07:37:28.463Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,390,311,82432,0,701,,
2026-07-15T07:37:29.768Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,390,311,82432,0,701,,
2026-07-15T07:38:29.923Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,1237,7887,83072,0,9124,,
2026-07-15T07:38:31.547Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,1237,7887,83072,0,9124,,
2026-07-15T07:38:32.315Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,1237,7887,83072,0,9124,,
2026-07-15T07:38:45.755Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,5395,1507,92160,0,6902,,
2026-07-15T07:38:48.843Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,1546,8601,97536,0,10147,,
2026-07-15T07:39:39.833Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,71,9069,107648,0,9140,,
2026-07-15T07:40:39.083Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,267,358,116736,0,625,,
2026-07-15T07:40:51.275Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,752,162,116992,0,914,,
2026-07-15T07:40:53.540Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,720,145,117888,0,865,,
2026-07-15T07:40:55.619Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,2037,163,118656,0,2200,,
2026-07-15T07:40:58.109Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,526,200,120576,0,726,,
2026-07-15T07:41:00.270Z,0da306f1-e741-4e42-b792-8a1f50d1962c,deepseek-v4-flash,126,347,121216,0,473,,
2026-07-15T07:45:59.679Z,b7484970-2761-49e7-a68a-89ace4926932,deepseek-v4-flash,26698,379,0,0,27077,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result_deepseek_flash/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/a37c111/run_20260715_153215/dataset_variants/without_non_re,
2026-07-15T07:46:00.648Z,b7484970-2761-49e7-a68a-89ace4926932,deepseek-v4-flash,26698,379,0,0,27077,,
