会话,轮次,输入tokens,输出tokens,缓存读取,合计tokens,输入占比,输出占比
activemq_withpro,1,26691,525,0,27216,98.1%,1.9%
activemq_withpro,2,26691,525,0,27216,98.1%,1.9%
activemq_withpro,3,26691,525,0,27216,98.1%,1.9%
activemq_withpro,4,26691,525,0,27216,98.1%,1.9%
activemq_withpro,5,26691,525,0,27216,98.1%,1.9%
activemq_withpro,6,19303,1897,27136,48336,39.9%,3.9%
activemq_withpro,7,794,483,48256,49533,1.6%,1.0%
activemq_withpro,8,794,483,48256,49533,1.6%,1.0%
activemq_withpro,9,794,483,48256,49533,1.6%,1.0%
activemq_withpro,10,5012,818,49408,55238,9.1%,1.5%
activemq_withpro,11,5012,818,49408,55238,9.1%,1.5%
activemq_withpro,12,5012,818,49408,55238,9.1%,1.5%
activemq_withpro,13,5012,818,49408,55238,9.1%,1.5%
activemq_withpro,14,7989,854,55168,64011,12.5%,1.3%
activemq_withpro,15,7989,854,55168,64011,12.5%,1.3%
activemq_withpro,16,7989,854,55168,64011,12.5%,1.3%
activemq_withpro,17,7989,854,55168,64011,12.5%,1.3%
activemq_withpro,18,10067,1831,64000,75898,13.3%,2.4%
activemq_withpro,19,10067,1831,64000,75898,13.3%,2.4%
activemq_withpro,20,10067,1831,64000,75898,13.3%,2.4%
activemq_withpro,21,4986,6507,75776,87269,5.7%,7.5%
activemq_withpro,22,4986,6507,75776,87269,5.7%,7.5%
activemq_withpro,23,4986,6507,75776,87269,5.7%,7.5%
activemq_withpro,24,4986,6507,75776,87269,5.7%,7.5%
activemq_withpro,25,6329,19550,87168,113047,5.6%,17.3%
activemq_withpro,26,12411,516,113024,125951,9.9%,0.4%
activemq_withpro,27,194,669,125824,126687,0.2%,0.5%
activemq_withpro,28,857,328,125952,127137,0.7%,0.3%
activemq_withpro,29,448,469,127104,128021,0.3%,0.4%
activemq_withpro,30,4117,612,128000,132729,3.1%,0.5%
activemq_withpro,31,777,435,132608,133820,0.6%,0.3%
activemq_withoutpro,1,26691,306,0,26997,98.9%,1.1%
activemq_withoutpro,2,388,446,26624,27458,1.4%,1.6%
activemq_withoutpro,3,388,446,26624,27458,1.4%,1.6%
activemq_withoutpro,4,388,446,26624,27458,1.4%,1.6%
activemq_withoutpro,5,388,446,26624,27458,1.4%,1.6%
activemq_withoutpro,6,388,446,26624,27458,1.4%,1.6%
activemq_withoutpro,7,18207,858,27392,46457,39.2%,1.8%
activemq_withoutpro,8,904,665,45568,47137,1.9%,1.4%
activemq_withoutpro,9,748,632,47104,48484,1.5%,1.3%
activemq_withoutpro,10,748,632,47104,48484,1.5%,1.3%
activemq_withoutpro,11,748,632,47104,48484,1.5%,1.3%
activemq_withoutpro,12,5488,950,48384,54822,10.0%,1.7%
activemq_withoutpro,13,5488,950,48384,54822,10.0%,1.7%
activemq_withoutpro,14,5488,950,48384,54822,10.0%,1.7%
activemq_withoutpro,15,3924,2221,53760,59905,6.6%,3.7%
activemq_withoutpro,16,3924,2221,53760,59905,6.6%,3.7%
activemq_withoutpro,17,3924,2221,53760,59905,6.6%,3.7%
activemq_withoutpro,18,3224,613,57600,61437,5.2%,1.0%
activemq_withoutpro,19,3224,613,57600,61437,5.2%,1.0%
activemq_withoutpro,20,2993,1125,61312,65430,4.6%,1.7%
activemq_withoutpro,21,2993,1125,61312,65430,4.6%,1.7%
activemq_withoutpro,22,2993,1125,61312,65430,4.6%,1.7%
activemq_withoutpro,23,129,1810,65408,67347,0.2%,2.7%
activemq_withoutpro,24,129,1810,65408,67347,0.2%,2.7%
activemq_withoutpro,25,129,1810,65408,67347,0.2%,2.7%
activemq_withoutpro,26,4461,1002,67328,72791,6.1%,1.4%
activemq_withoutpro,27,1126,498,71680,73304,1.5%,0.7%
activemq_withoutpro,28,1126,498,71680,73304,1.5%,0.7%
activemq_withoutpro,29,1126,498,71680,73304,1.5%,0.7%
activemq_withoutpro,30,2521,3719,73216,79456,3.2%,4.7%
activemq_withoutpro,31,8529,6061,79360,93950,9.1%,6.5%
activemq_withoutpro,32,7619,11819,93824,113262,6.7%,10.4%
activemq_withoutpro,33,214,335,113152,113701,0.2%,0.3%
activemq_withoutpro,34,478,270,113664,114412,0.4%,0.2%
activemq_withoutpro,35,212,264,114304,114780,0.2%,0.2%
activemq_withoutpro,36,132,502,114688,115322,0.1%,0.4%
hadoop_withpro,1,26600,441,0,27041,98.4%,1.6%
hadoop_withpro,2,26600,441,0,27041,98.4%,1.6%
hadoop_withpro,3,26600,441,0,27041,98.4%,1.6%
hadoop_withpro,4,26600,441,0,27041,98.4%,1.6%
hadoop_withpro,5,23096,2162,27008,52266,44.2%,4.1%
hadoop_withpro,6,3094,2148,52224,57466,5.4%,3.7%
hadoop_withpro,7,689,266,57344,58299,1.2%,0.5%
hadoop_withpro,8,77,208,58240,58525,0.1%,0.4%
hadoop_withpro,9,1275,569,58496,60340,2.1%,0.9%
hadoop_withpro,10,1275,569,58496,60340,2.1%,0.9%
hadoop_withpro,11,1275,569,58496,60340,2.1%,0.9%
hadoop_withpro,12,1275,569,58496,60340,2.1%,0.9%
hadoop_withpro,13,1275,569,58496,60340,2.1%,0.9%
hadoop_withpro,14,6557,2689,60288,69534,9.4%,3.9%
hadoop_withpro,15,6557,2689,60288,69534,9.4%,3.9%
hadoop_withpro,16,6557,2689,60288,69534,9.4%,3.9%
hadoop_withpro,17,6557,2689,60288,69534,9.4%,3.9%
hadoop_withpro,18,6557,2689,60288,69534,9.4%,3.9%
hadoop_withpro,19,4682,2159,69504,76345,6.1%,2.8%
hadoop_withpro,20,4682,2159,69504,76345,6.1%,2.8%
hadoop_withpro,21,3811,785,74112,78708,4.8%,1.0%
hadoop_withpro,22,3811,785,74112,78708,4.8%,1.0%
hadoop_withpro,23,1106,897,78592,80595,1.4%,1.1%
hadoop_withpro,24,1106,897,78592,80595,1.4%,1.1%
hadoop_withpro,25,6059,3021,80512,89592,6.8%,3.4%
hadoop_withpro,26,6059,3021,80512,89592,6.8%,3.4%
hadoop_withpro,27,6059,3021,80512,89592,6.8%,3.4%
hadoop_withpro,28,3792,3113,89472,96377,3.9%,3.2%
hadoop_withpro,29,3792,3113,89472,96377,3.9%,3.2%
hadoop_withpro,30,958,6165,96256,103379,0.9%,6.0%
hadoop_withpro,31,1527,1104,103296,105927,1.4%,1.0%
hadoop_withpro,32,161,357,105856,106374,0.2%,0.3%
hadoop_withpro,33,390,217,106368,106975,0.4%,0.2%
hadoop_withpro,34,703,552,106880,108135,0.7%,0.5%
hadoop_withoutpro,1,26600,460,0,27060,98.3%,1.7%
hadoop_withoutpro,2,26600,460,0,27060,98.3%,1.7%
hadoop_withoutpro,3,26600,460,0,27060,98.3%,1.7%
hadoop_withoutpro,4,26600,460,0,27060,98.3%,1.7%
hadoop_withoutpro,5,26600,460,0,27060,98.3%,1.7%
hadoop_withoutpro,6,22374,1193,27008,50575,44.2%,2.4%
hadoop_withoutpro,7,22374,1193,27008,50575,44.2%,2.4%
hadoop_withoutpro,8,2391,1109,50560,54060,4.4%,2.1%
hadoop_withoutpro,9,2391,1109,50560,54060,4.4%,2.1%
hadoop_withoutpro,10,4878,511,54016,59405,8.2%,0.9%
hadoop_withoutpro,11,4878,511,54016,59405,8.2%,0.9%
hadoop_withoutpro,12,4878,511,54016,59405,8.2%,0.9%
hadoop_withoutpro,13,4878,511,54016,59405,8.2%,0.9%
hadoop_withoutpro,14,12756,2231,59392,74379,17.2%,3.0%
hadoop_withoutpro,15,2335,8002,72064,82401,2.8%,9.7%
hadoop_withoutpro,16,412,653,82304,83369,0.5%,0.8%
hadoop_withoutpro,17,280,374,83328,83982,0.3%,0.4%
hadoop_withoutpro,18,280,374,83328,83982,0.3%,0.4%
hadoop_withoutpro,19,280,374,83328,83982,0.3%,0.4%
hadoop_withoutpro,20,12056,851,83968,96875,12.4%,0.9%
hadoop_withoutpro,21,186,810,96768,97764,0.2%,0.8%
hadoop_withoutpro,22,186,810,96768,97764,0.2%,0.8%
hadoop_withoutpro,23,186,810,96768,97764,0.2%,0.8%
hadoop_withoutpro,24,186,810,96768,97764,0.2%,0.8%
hadoop_withoutpro,25,186,810,96768,97764,0.2%,0.8%
hadoop_withoutpro,26,5936,6028,96896,108860,5.5%,5.5%
hadoop_withoutpro,27,5936,6028,96896,108860,5.5%,5.5%
hadoop_withoutpro,28,5936,6028,96896,108860,5.5%,5.5%
hadoop_withoutpro,29,5936,6028,96896,108860,5.5%,5.5%
hadoop_withoutpro,30,851,714,108800,110365,0.8%,0.6%
hadoop_withoutpro,31,817,21872,109568,132257,0.6%,16.5%
hadoop_withoutpro,32,121,291,132224,132636,0.1%,0.2%
hadoop_withoutpro,33,106,439,132608,133153,0.1%,0.3%
hadoop_withoutpro,34,651,272,132608,133531,0.5%,0.2%
hadoop_withoutpro,35,498,221,133504,134223,0.4%,0.2%
hadoop_withoutpro,36,119,575,134144,134838,0.1%,0.4%
hadoop_withoutpro,37,39818,366,96768,136952,29.1%,0.3%
hadoop_withoutpro,38,29,384,136576,136989,0.0%,0.3%
karaf_withpro,1,26587,441,0,27028,98.4%,1.6%
karaf_withpro,2,26587,441,0,27028,98.4%,1.6%
karaf_withpro,3,26587,441,0,27028,98.4%,1.6%
karaf_withpro,4,26587,441,0,27028,98.4%,1.6%
karaf_withpro,5,26587,441,0,27028,98.4%,1.6%
karaf_withpro,6,18023,1468,27008,46499,38.8%,3.2%
karaf_withpro,7,277,397,46464,47138,0.6%,0.8%
karaf_withpro,8,277,397,46464,47138,0.6%,0.8%
karaf_withpro,9,277,397,46464,47138,0.6%,0.8%
karaf_withpro,10,2899,2736,46720,52355,5.5%,5.2%
karaf_withpro,11,2899,2736,46720,52355,5.5%,5.2%
karaf_withpro,12,4086,3398,49536,57020,7.2%,6.0%
karaf_withpro,13,4086,3398,49536,57020,7.2%,6.0%
karaf_withpro,14,4086,3398,49536,57020,7.2%,6.0%
karaf_withpro,15,1610,519,56960,59089,2.7%,0.9%
karaf_withpro,16,3051,4245,59008,66304,4.6%,6.4%
karaf_withpro,17,3051,4245,59008,66304,4.6%,6.4%
