时间,会话ID,模型,输入tokens,输出tokens,缓存读取,缓存创建,总计tokens,用户提示词,回复摘要
2026-07-15T13:53:35.952Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,26691,525,0,0,27216,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result_deepseek_pro/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/a37c111/run_20260715_153215/dataset_variants/with_non_regress,
2026-07-15T13:53:37.141Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,26691,525,0,0,27216,,
2026-07-15T13:53:37.560Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,26691,525,0,0,27216,,
2026-07-15T13:53:38.021Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,26691,525,0,0,27216,,
2026-07-15T13:53:38.474Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,26691,525,0,0,27216,,
2026-07-15T13:53:53.287Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,19303,1897,27136,0,21200,,
2026-07-15T13:54:12.841Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,794,483,48256,0,1277,,
2026-07-15T13:54:14.898Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,794,483,48256,0,1277,,
2026-07-15T13:54:15.684Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,794,483,48256,0,1277,,
2026-07-15T13:54:20.148Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,5012,818,49408,0,5830,,
2026-07-15T13:54:21.998Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,5012,818,49408,0,5830,,
2026-07-15T13:54:22.766Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,5012,818,49408,0,5830,,
2026-07-15T13:54:23.481Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,5012,818,49408,0,5830,,
2026-07-15T13:54:29.146Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,7989,854,55168,0,8843,,
2026-07-15T13:54:31.071Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,7989,854,55168,0,8843,,
2026-07-15T13:54:31.792Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,7989,854,55168,0,8843,,
2026-07-15T13:54:32.634Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,7989,854,55168,0,8843,,
2026-07-15T13:54:50.759Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,10067,1831,64000,0,11898,,
2026-07-15T13:54:52.562Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,10067,1831,64000,0,11898,,
2026-07-15T13:54:53.316Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,10067,1831,64000,0,11898,,
2026-07-15T13:55:48.485Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,4986,6507,75776,0,11493,,
2026-07-15T13:55:50.737Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,4986,6507,75776,0,11493,,
2026-07-15T13:55:51.631Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,4986,6507,75776,0,11493,,
2026-07-15T13:55:52.588Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,4986,6507,75776,0,11493,,
2026-07-15T13:56:02.740Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,6329,19550,87168,0,25879,,
2026-07-15T13:58:25.972Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,12411,516,113024,0,12927,,
2026-07-15T13:58:43.743Z,b71d418c-abee-4667-aeb7-2d6eb434db7a,deepseek-v4-pro,194,669,125824,0,863,,
