candidate_id,testcase_class,source_file
1,org.objectweb.jtests.jms.conform.message.MessageBodyTest,.
2,org.apache.activemq.broker.interceptor.MessageInterceptorTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-broker/src/test/java/org/apache/activemq/broker/interceptor/MessageInterceptorTest.java
3,org.apache.activemq.store.leveldb.LevelDBNegativeQueueTest,.
4,org.apache.activemq.broker.util.RedeliveryPluginTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/broker/util/RedeliveryPluginTest.java
5,org.apache.activemq.jms.pool.PooledSessionNoPublisherCachingTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/PooledSessionNoPublisherCachingTest.java
6,org.apache.activemq.bugs.AMQ5274Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ5274Test.java
7,org.apache.activemq.JmsTopicRequestReplyTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTopicRequestReplyTest.java
8,org.apache.activemq.network.MQTTNetworkOfBrokersFailoverTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/network/MQTTNetworkOfBrokersFailoverTest.java
9,org.apache.activemq.JmsMessageConsumerClosedTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JmsMessageConsumerClosedTest.java
10,org.apache.activemq.ActiveMQSslConnectionFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQSslConnectionFactoryTest.java
11,org.apache.activemq.usecases.DurableSubscriptionOfflineBrowseRemoveTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/DurableSubscriptionOfflineBrowseRemoveTest.java
12,org.apache.activemq.thread.SchedulerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-client/src/test/java/org/apache/activemq/thread/SchedulerTest.java
13,org.apache.activemq.JmsClientAckTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JmsClientAckTest.java
14,org.apache.activemq.JmsQueueTransactionTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-broker/src/test/java/org/apache/activemq/JmsQueueTransactionTest.java
