candidate_id,testcase_class,source_file
1,org.apache.hadoop.hdfs.server.balancer.TestBalancerWithMultipleNameNodes,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/balancer/TestBalancerWithMultipleNameNodes.java
2,org.apache.hadoop.hdfs.qjournal.client.TestQuorumJournalManager,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/qjournal/client/TestQuorumJournalManager.java
3,org.apache.hadoop.fs.viewfs.TestViewFsWithXAttrs,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/viewfs/TestViewFsWithXAttrs.java
4,org.apache.hadoop.hdfs.server.namenode.TestEditLogFileOutputStream,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestEditLogFileOutputStream.java
5,org.apache.hadoop.security.TestDoAsEffectiveUser,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestDoAsEffectiveUser.java
6,org.apache.hadoop.hdfs.server.namenode.TestGetBlockLocations,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestGetBlockLocations.java
7,org.apache.hadoop.fs.viewfs.TestNNStartupWhenViewFSOverloadSchemeEnabled,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/fs/viewfs/TestNNStartupWhenViewFSOverloadSchemeEnabled.java
8,org.apache.hadoop.hdfs.server.namenode.TestEditsDoubleBuffer,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestEditsDoubleBuffer.java
9,org.apache.hadoop.hdfs.shortcircuit.TestShortCircuitLocalRead,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/shortcircuit/TestShortCircuitLocalRead.java
10,org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestFsVolumeList,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/fsdataset/impl/TestFsVolumeList.java
11,org.apache.hadoop.hdfs.server.namenode.TestNamenodeStorageDirectives,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestNamenodeStorageDirectives.java
12,org.apache.hadoop.hdfs.TestViewDistributedFileSystemWithMountLinks,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/TestViewDistributedFileSystemWithMountLinks.java
13,org.apache.hadoop.metrics2.lib.TestUniqNames,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/metrics2/lib/TestUniqNames.java
14,org.apache.hadoop.util.TestLimitInputStream,/home/lili/TC_try/Hadoop_PR2768_build2_da0dbf1/repo/hadoop_git_da0dbf1/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/util/TestLimitInputStream.java
