candidate_id,testcase_class,source_file
1,org.apache.karaf.itests.examples.NamespaceHandlerExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/NamespaceHandlerExampleTest.java
2,org.apache.karaf.itests.examples.SchedulerExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/SchedulerExampleTest.java
3,org.apache.karaf.itests.mavenresolver.MavenResolverRegisteredOnlyAfterConfigAdminTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/mavenresolver/MavenResolverRegisteredOnlyAfterConfigAdminTest.java
4,org.apache.karaf.instance.core.management.internal.InstanceToTableMapperTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/instance/src/test/java/org/apache/karaf/instance/core/management/internal/InstanceToTableMapperTest.java
5,org.apache.karaf.maven.core.MavenRepositoryURLTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/maven/core/src/test/java/org/apache/karaf/maven/core/MavenRepositoryURLTest.java
6,org.apache.karaf.event.command.EventDisplayCommandTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/event/src/test/java/org/apache/karaf/event/command/EventDisplayCommandTest.java
7,org.apache.karaf.features.RepositoryTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/RepositoryTest.java
8,org.apache.karaf.itests.examples.MBeanExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/MBeanExampleTest.java
9,org.apache.karaf.config.command.EditCommandTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/config/src/test/java/org/apache/karaf/config/command/EditCommandTest.java
10,org.apache.karaf.jaas.modules.ldap.LdapLoginModuleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/ldap/LdapLoginModuleTest.java
11,org.apache.karaf.main.lock.OracleJDBCLockTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/lock/OracleJDBCLockTest.java
12,org.apache.karaf.management.KarafMBeanServerGuardTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/management/server/src/test/java/org/apache/karaf/management/KarafMBeanServerGuardTest.java
13,org.apache.karaf.features.internal.service.OverridesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/internal/service/OverridesTest.java
14,org.apache.karaf.shell.commands.impl.InfoTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/commands/src/test/java/org/apache/karaf/shell/commands/impl/InfoTest.java
15,org.apache.karaf.shell.ssh.KnownHostsManagerTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/shell/ssh/src/test/java/org/apache/karaf/shell/ssh/KnownHostsManagerTest.java
16,org.apache.karaf.itests.examples.WarExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/WarExampleTest.java
17,org.apache.karaf.itests.JavaSecurityTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/JavaSecurityTest.java
18,org.apache.karaf.main.MainLockingTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/main/src/test/java/org/apache/karaf/main/MainLockingTest.java
19,org.apache.karaf.util.ParserTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/util/src/test/java/org/apache/karaf/util/ParserTest.java
20,org.apache.karaf.itests.examples.CdiExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/CdiExampleTest.java
21,org.apache.karaf.itests.examples.SoapExampleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/examples/SoapExampleTest.java
22,org.apache.karaf.jaas.modules.properties.PropertiesLoginModuleTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/jaas/modules/src/test/java/org/apache/karaf/jaas/modules/properties/PropertiesLoginModuleTest.java
