rank,candidate_id,testcase_class,source_file,reason
1,84,org.apache.karaf.features.internal.service.FeaturesValidationTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/internal/service/FeaturesValidationTest.java,
2,13,org.apache.karaf.features.internal.service.OverridesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/internal/service/OverridesTest.java,
3,39,org.apache.karaf.features.internal.service.LocationPatternTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/internal/service/LocationPatternTest.java,
4,7,org.apache.karaf.features.RepositoryTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/RepositoryTest.java,
5,53,org.apache.karaf.features.ConditionalTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/ConditionalTest.java,
6,29,org.apache.karaf.features.internal.region.SubsystemTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/internal/region/SubsystemTest.java,
7,91,org.apache.karaf.features.internal.download.impl.DownloadManagerHelperTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/features/core/src/test/java/org/apache/karaf/features/internal/download/impl/DownloadManagerHelperTest.java,
8,80,org.apache.karaf.itests.features.StandardFeaturesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/features/StandardFeaturesTest.java,
9,48,org.apache.karaf.itests.ConditionalFeaturesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/ConditionalFeaturesTest.java,
10,83,org.apache.karaf.itests.features.EnterpriseFeaturesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/features/EnterpriseFeaturesTest.java,
11,57,org.apache.karaf.itests.features.Spring52FeaturesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/features/Spring52FeaturesTest.java,
12,97,org.apache.karaf.itests.features.Spring43FeaturesTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/features/Spring43FeaturesTest.java,
13,101,org.apache.karaf.itests.ssh.FeatureSshCommandSecurityTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/itests/test/src/test/java/org/apache/karaf/itests/ssh/FeatureSshCommandSecurityTest.java,
14,37,org.apache.karaf.kar.internal.KarTest,/home/lili/TC_try/Karaf_PR1287_build1_49ca16e/repo/karaf_git_49ca16e/kar/src/test/java/org/apache/karaf/kar/internal/KarTest.java,
